,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,4ybRKMqaca8,2020-10-10T03:30:45Z,0,308,3,0
1,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,yEAM4rtl3y4,2020-10-09T11:28:48Z,47103,4304,26,11
2,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,QUIQVRa7OqA,2020-10-08T18:47:00Z,99313,6342,33,18
3,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,-eS9C5j1TLg,2020-10-07T19:53:13Z,63744,5038,22,21
4,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,X5KWBTTEFJU,2020-10-06T12:19:17Z,114150,8672,39,34
5,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,d1cu0BaRlgs,2020-10-05T16:29:41Z,28750,3870,7,9
6,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,KOUG5rcylHQ,2020-10-05T11:43:49Z,87912,5867,25,13
7,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,rL9rwN3aNxA,2020-10-04T13:00:00Z,148658,9155,31,35
8,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,aY-urLEPIME,2020-10-03T12:10:43Z,74357,5049,26,18
9,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,cN8N6Z2x9VY,2020-10-03T08:14:14Z,65560,4705,22,17
10,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,nzWep7IhpNY,2020-10-02T17:26:00Z,39994,3977,14,17
11,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,emz5SA43fJM,2020-10-01T16:13:20Z,40768,3734,16,10
12,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,klN7LvbDVR8,2020-10-01T12:11:23Z,77580,5331,35,11
13,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,E6hRDjrgi94,2020-09-30T18:14:12Z,46828,4015,18,25
14,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,YnUaR6IDVSQ,2020-09-30T14:52:30Z,79256,6931,21,30
15,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,4WIxmh4frzI,2020-09-29T13:21:52Z,37860,3766,19,6
16,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,X6EYLjiiJ6k,2020-09-29T10:16:32Z,51376,4919,24,16
