,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,fEDucOwXYnc,2020-10-10T04:01:19Z,0,1204,24,58
1,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,VrOXTbAWvhI,2020-10-09T19:12:30Z,405010,16735,241,136
2,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,X264OuIgdYE,2020-10-09T11:31:34Z,101827,5370,83,185
3,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,u_hTJiwMClI,2020-10-09T11:16:39Z,99814,5862,95,127
4,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,-HVXlF0heOk,2020-10-08T11:13:35Z,165266,9099,106,103
5,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,emWjfXcpYEU,2020-10-07T15:18:51Z,276084,13955,107,125
6,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,FwuRqktgg4w,2020-10-06T13:28:43Z,213381,10779,90,94
7,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,8jhHjg76rlg,2020-10-05T17:24:31Z,366152,17546,175,115
8,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,3Df4RVddFmU,2020-10-04T17:06:52Z,322956,13201,199,123
9,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,_xoXr0Wt7C0,2020-10-03T18:22:49Z,290369,14349,143,102
10,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,H8FWadpDpmk,2020-10-03T13:59:30Z,267867,11595,125,77
11,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,ZoV7danNWJk,2020-10-02T16:27:25Z,369228,12808,183,87
12,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,fxey0JKIU94,2020-10-01T21:13:05Z,383464,15044,173,153
13,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,PQd1FHaq-Jo,2020-10-01T12:58:19Z,176168,8081,166,58
14,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,4R-uxBxy13o,2020-10-01T00:17:33Z,482580,19648,325,345
15,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,qHYXI6yocSM,2020-09-30T13:26:44Z,401765,13631,486,93
16,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,rYpprHJOTBw,2020-09-29T16:29:47Z,245034,12274,169,72
17,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,ZnqxmSOEkP4,2020-09-28T16:30:28Z,249969,14986,107,125
18,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,Gkuo7RtYMoc,2020-09-28T13:44:04Z,232053,10845,153,72
19,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,zykt42JOALU,2020-09-27T10:38:33Z,258996,11506,113,81
20,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,m-xBsmr84H8,2020-09-26T20:32:41Z,500638,19457,215,168
21,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,FkkX_YDeN2g,2020-09-26T13:52:34Z,281825,15787,171,184
22,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,MkTmS1X8wBU,2020-09-25T13:50:19Z,175269,8289,77,61
23,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,_SuxUvyo_js,2020-09-24T14:10:44Z,330724,14371,96,107
24,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,WRZ4lEKK5SQ,2020-09-23T19:51:57Z,397540,15807,160,115
25,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,dzMJRYft4AE,2020-09-23T12:09:36Z,246364,11372,158,62
26,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,Bt6PkAEAj5g,2020-09-22T14:38:51Z,273533,11510,106,74
27,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,aD_niqW7BPM,2020-09-21T14:47:29Z,355797,13238,179,182
28,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,Hqbt4iMf3o4,2020-09-21T12:32:28Z,168097,7576,176,111
29,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,ObPK-R6208M,2020-09-20T20:40:19Z,397994,17091,230,159
30,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,1wWA5eNa5pk,2020-09-20T14:01:55Z,216122,7985,161,92
31,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,sgA_UoNHyz4,2020-09-20T08:03:23Z,160092,7623,92,30
32,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,OemgFuxztY4,2020-09-19T10:40:00Z,192018,8266,102,56
33,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,HMxDmpiGLOU,2020-09-18T12:00:45Z,297712,13115,126,167
34,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,yF2va6QbnOs,2020-09-17T16:58:14Z,404890,16470,172,157
35,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,EDF6-gwYHX8,2020-09-16T13:59:11Z,198118,10147,96,80
36,Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,_K2ZjMPz5HA,2020-09-15T17:21:35Z,411803,14517,193,128
