,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,FHHb9obAYLY,2020-10-10T06:19:57Z,0,751,16,0
1,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,WzHCTEagyoo,2020-10-10T05:56:21Z,0,470,14,0
2,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,_CK9CqU92ko,2020-10-09T14:28:11Z,215553,13511,160,152
3,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,ey1ag5L4Sik,2020-10-08T15:15:38Z,244370,12564,135,57
4,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,5qoMVw1XPxA,2020-10-06T15:16:25Z,255153,15148,77,125
5,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,hPdty3wbEL0,2020-10-05T12:06:25Z,547575,41307,202,1541
6,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,c7ew7wB8c7E,2020-10-05T09:09:59Z,203826,10071,100,115
7,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,JAtFeou4ht4,2020-10-03T14:11:21Z,383818,30531,93,1599
8,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,h4ftpbC4hvM,2020-10-02T14:22:31Z,190770,8979,107,58
9,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,uMUVcEH6HOY,2020-10-01T18:16:57Z,375661,14343,173,116
10,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,doFzL0hJx4w,2020-10-01T04:23:36Z,213411,14347,102,182
11,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,aRL8cBkuzIQ,2020-09-30T22:00:01Z,381952,36406,83,1314
12,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,BHji7bVadEw,2020-09-29T13:38:58Z,249884,10627,184,53
13,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,tPsGWXzKlqU,2020-09-29T05:17:06Z,369272,41835,125,2657
14,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,OzC3amxlRA0,2020-09-28T17:10:32Z,242171,12958,132,95
15,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,HDlbupXSI70,2020-09-26T12:11:36Z,318532,14556,142,176
16,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,sQlFzT3uXko,2020-09-24T08:50:39Z,298062,11034,133,55
17,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,yPrUNmy0UeI,2020-09-22T18:35:16Z,188978,8639,70,62
18,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,c2kQMvGKOiE,2020-09-22T13:35:29Z,207968,9166,82,73
19,Marine Ch. 宝鐘マリン,UCCzUftO8KOVkV4wQG1vkUvg,6w_vMyPV5d0,2020-09-20T12:12:48Z,398901,21883,164,316
