,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,eaGxURtGJzc,2020-10-10T04:04:22Z,0,746,9,0
1,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,7JzF-M458vM,2020-10-09T11:58:01Z,147206,9656,91,43
2,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,XXSyGj-xjkI,2020-10-08T14:27:39Z,118745,8134,71,37
3,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,COh3kd9NsmA,2020-10-07T09:29:33Z,132294,7934,99,63
4,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,zSJJ-26Ew74,2020-10-07T06:57:59Z,69914,5537,40,16
5,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,b5_SMhuf3L0,2020-10-06T13:49:34Z,150725,9193,74,34
6,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,m5_GfWtKJFk,2020-10-04T12:30:04Z,248886,12061,82,81
7,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,PtniFHa4P7Y,2020-10-03T12:40:23Z,147786,8908,93,61
8,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,2RKmZmh5HWI,2020-10-02T13:43:48Z,102111,7601,69,59
9,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,tXqk3Ez23A8,2020-10-01T10:44:21Z,116929,7559,75,43
10,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,p19rJYjF--o,2020-09-30T18:08:53Z,154426,9546,50,91
11,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,79LLw5XSvIU,2020-09-30T10:19:48Z,189104,11505,189,189
12,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,z5Q1YXK0Ihc,2020-09-29T14:01:19Z,248387,17519,96,195
13,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,6fLQB_yzjHI,2020-09-28T11:22:23Z,148527,9524,144,71
14,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,3QVGo-xikuY,2020-09-25T15:24:29Z,178762,12615,38,115
15,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,bBxPlyKgWO4,2020-09-24T18:11:42Z,89215,7673,23,50
16,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,ug5-nfI_j0A,2020-09-24T10:20:58Z,107410,7385,46,150
17,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,fYPbxUHjQKY,2020-09-24T09:29:57Z,63106,4703,28,79
18,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,k3-2XJNUptw,2020-09-23T13:30:40Z,199008,11664,68,111
19,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,TgWvwCkzYZM,2020-09-22T13:14:00Z,183001,10254,99,76
20,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,Cf8Hvp7Qvs8,2020-09-21T14:45:27Z,236251,12731,126,65
21,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,4G53jeyhdaY,2020-09-20T11:47:35Z,170242,9501,66,75
22,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,uy6PCizyEiE,2020-09-19T18:25:50Z,196063,12590,57,82
23,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,Nr9QoxLtkO8,2020-09-19T13:15:01Z,140121,9476,37,52
24,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,vTRCoD16Kp4,2020-09-18T16:44:40Z,220943,13912,68,121
25,Rushia Ch. 潤羽るしあ,UCl_gCybOJRIgOXw6Qb4qJzQ,qn7WmwWoEDo,2020-09-17T12:35:02Z,175689,10880,94,63
