,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,hK-7q9n0mrk,2020-10-09T16:43:54Z,93176,7316,74,4
1,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,_1s1WT0bl5Y,2020-10-08T19:41:58Z,151013,7619,49,17
2,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Ckj2nXGyQZo,2020-10-08T00:21:35Z,78609,5665,32,32
3,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,EJSICFkVzsg,2020-10-04T09:57:16Z,169115,7910,82,37
4,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,WJk8xzd3OYw,2020-10-03T16:51:21Z,162162,9518,57,84
5,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,bybQt2q7Hnk,2020-10-03T06:44:45Z,129299,6207,60,14
6,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,6NOGLlnk2Jo,2020-10-02T16:15:30Z,66069,3968,33,16
7,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,_gb44X05LsU,2020-09-30T15:43:03Z,347309,20654,151,422
8,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,x2xWFiqFcpQ,2020-09-28T07:47:55Z,138050,7485,65,63
9,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,iWXE84rNmr0,2020-09-28T03:16:37Z,158176,10476,92,72
10,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,AxZwugWRdWE,2020-09-23T17:14:51Z,167141,7529,52,58
11,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,TBcZYbyhNmM,2020-09-21T11:13:07Z,144069,7185,82,85
12,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Vqkd7R6pgoA,2020-09-20T06:45:09Z,142688,6172,74,33
13,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,ofIvZMLHuPE,2020-09-19T09:00:20Z,94641,4625,34,29
14,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,kJStCORSqJI,2020-09-19T04:01:04Z,73415,3931,33,26
15,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,QnOxUBD0TN8,2020-09-17T09:51:43Z,137731,6886,64,34
16,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,F_6B7rMw79Q,2020-09-15T16:39:57Z,109611,6374,37,30
17,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,B9_Htb2J3bw,2020-09-14T11:14:14Z,119774,7493,64,78
18,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,rPW2mkjBdl4,2020-09-12T05:39:32Z,162543,6493,119,70
19,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,J6dCT3RA4oM,2020-09-10T12:05:02Z,78945,4113,46,32
20,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,MXwNITxIlGA,2020-09-09T18:26:08Z,129570,6117,57,37
21,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,4YDvVRfJrgg,2020-09-07T20:31:03Z,147750,8010,32,65
22,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,1xD3MDvnBHc,2020-09-07T08:41:36Z,226455,13076,93,110
23,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,aU8rhkdFqds,2020-09-05T03:50:29Z,139716,6147,50,39
24,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,jegeBjMRhe8,2020-09-04T18:22:05Z,134632,6572,53,38
25,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,fsqp-k_THcI,2020-09-02T17:58:12Z,131151,5987,54,46
26,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,lI8wWMLGWYA,2020-08-29T02:23:43Z,141831,5940,57,36
27,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,BkA0waSS-XE,2020-08-28T16:40:54Z,75297,4269,22,17
28,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,WAJ3vhDNYvU,2020-08-28T11:45:23Z,175141,7031,67,57
29,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,4DOKrILRjxY,2020-08-27T01:29:49Z,118086,5901,44,34
30,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,GnYxpR7xMYg,2020-08-26T00:11:26Z,99376,5007,34,26
