,îN,åé,çƒê∂êî,îNåé
0,2016,01,14,2016-01
1,2016,02,26,2016-02
2,2016,03,38,2016-03
3,2016,04,40,2016-04
4,2016,05,17,2016-05
5,2016,06,41,2016-06
6,2016,07,43,2016-07
7,2016,08,43,2016-08
8,2016,09,24,2016-09
9,2016,10,42,2016-10
10,2016,11,46,2016-11
11,2016,12,49,2016-12
12,2017,01,22,2017-01
13,2017,02,43,2017-02
14,2017,03,45,2017-03
15,2017,04,24,2017-04
16,2017,05,54,2017-05
17,2017,06,55,2017-06
18,2017,07,60,2017-07
19,2017,08,35,2017-08
20,2017,09,178,2017-09
21,2017,10,215,2017-10
22,2017,11,121,2017-11
23,2017,12,49,2017-12
24,2018,01,83,2018-01
25,2018,02,147,2018-02
26,2018,03,113,2018-03
27,2018,04,246,2018-04
28,2018,05,253,2018-05
29,2018,06,246,2018-06
30,2018,07,125,2018-07
31,2018,08,222,2018-08
32,2018,09,185,2018-09
33,2018,10,217,2018-10
34,2018,11,129,2018-11
35,2018,12,333,2018-12
36,2019,01,316,2019-01
37,2019,02,112,2019-02
38,2019,03,270,2019-03
39,2019,04,331,2019-04
40,2019,05,322,2019-05
41,2019,06,149,2019-06
42,2019,07,374,2019-07
43,2019,08,385,2019-08
44,2019,09,361,2019-09
45,2019,10,201,2019-10
46,2019,11,714,2019-11
47,2019,12,687,2019-12
