,channel_id,published_at,title,video_id
0,UC5CwaMl1eIgY8h02uZw7u8A,2020-10-04T14:20:07Z,【公式】『星街すいせいのMUSIC SPACE』#26 前半（2020年9月27日放送分）,CZMmt8bFSng
1,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-27T13:11:21Z,【歌枠⚠重大告知!?】50万人突破するまで歌い続ける【ホロライブ / 星街すいせい】,RPdUErEiRbk
2,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-27T08:18:31Z,【公式】『星街すいせいのMUSIC SPACE』#25 前半（2020年9月20日放送分）,TkdlsA_rMmo
3,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-26T14:21:43Z,【スマブラSP】視聴者参加型‼相棒のプリンと大乱闘🎤【ホロライブ / 星街すいせい】,PjhcpA1hla0
4,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-25T14:31:10Z,【Fall Guys】最強伝説更新中。【ホロライブ / 星街すいせい】,8PZKEGUAfNY
5,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-23T16:28:21Z,【Dark Deception】怪奇現象に屈しない【ホロライブ / 星街すいせい】,kO9tDxFzC9I
6,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-22T16:34:16Z,【Dark Deception】猿如きに屈しない【ホロライブ / 星街すいせい】,l-0IbJwtxxo
7,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-20T08:44:24Z,【公式】『星街すいせいのMUSIC SPACE』#24 前半（2020年9月13日放送分）,RCtmvxO30NQ
8,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-19T12:06:26Z,【ヴァンガZERO】私がヴァンガZEROに登場！？これは夢…？【ホロライブ / 星街すいせい】,KPo5vaoe1Vo
9,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-18T13:21:29Z,【Minecraft】久しぶり！ホロ鯖探検！【ホロライブ / 星街すいせい】,zhqytNyqC8M
10,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-16T13:05:30Z,同居ーず全員引っ越し完了！！！【ホロライブ / #同居ーず】,HlGbVAzVHFE
11,UC5CwaMl1eIgY8h02uZw7u8A,2020-09-13T19:07:52Z,【テトリス99】VIP1位取るまで終われない！！【ホロライブ / 星街すいせい】,TNzs1mmECek
