,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
0,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,PerzMoTou-k,2018-08-12T22:00:01Z,168235,4583,18,89
1,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,v6F1L-XGYJI,2018-07-15T08:00:07Z,10974,470,4,33
2,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,SuYMP7KAlmI,2018-06-24T09:00:06Z,5440,325,0,29
3,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,WMPwViWj3Go,2018-06-09T07:43:05Z,2483,149,0,13
4,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,6SXNvivnP1I,2018-06-04T09:00:20Z,2501,170,0,7
5,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,36eIqb8cRZ0,2018-05-27T09:00:00Z,3874,234,0,15
6,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,XAoyTwp9q1w,2018-05-17T09:00:02Z,8515,718,2,50
7,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,--aySbDyuBA,2018-05-01T09:00:01Z,7155,523,1,52
8,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,sm4KMKurd8E,2018-04-30T08:00:01Z,110839,2828,14,66
9,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,ewGJ4DzeuQs,2018-04-22T09:00:03Z,5659,490,0,49
10,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,bLN9mdYYCa0,2018-04-16T09:00:05Z,14542,794,4,87
11,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,PYnWKg4K6EU,2018-04-12T09:00:03Z,8464,538,1,40
12,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,Ia3sVvOtYa0,2018-04-01T08:46:20Z,32614,2055,7,60
13,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,uXUNZLPrgy8,2018-03-29T09:01:11Z,12429,714,1,59
14,Suisei Channel,UC5CwaMl1eIgY8h02uZw7u8A,1dOyVEls4pg,2018-03-22T09:31:04Z,83540,3100,17,197
